zipcode,low,high,uncertainty
20073,-0.045989904655075714,-0.001027221366204417,0.0449626832888713
20059,-0.045989904655075714,-0.001027221366204417,0.0449626832888713
20045,-0.11764705882352941,-0.001027221366204417,0.11661983745732499
20042,-0.045989904655075714,-0.001027221366204417,0.0449626832888713
20039,-0.11764705882352941,-0.001027221366204417,0.11661983745732499
20032,-0.33098591549295775,-0.001027221366204417,0.3299586941267533
20026,-0.11764705882352941,-0.001027221366204417,0.11661983745732499
20013,-0.11764705882352941,-0.001027221366204417,0.11661983745732499
20380,-0.045989904655075714,-0.001027221366204417,0.0449626832888713
20526,-0.045989904655075714,-0.001027221366204417,0.0449626832888713
20551,-0.11764705882352941,-0.001027221366204417,0.11661983745732499
20444,-0.045989904655075714,-0.001027221366204417,0.0449626832888713
20543,-0.045989904655075714,-0.001027221366204417,0.0449626832888713
